"Table with fips codes in column A and area names in column B, column headers in rows 12 through 13.  United States in row 15, regions start in row 17, state totals start in row 24, county by state start in row 78, minor civil divisions by new england start start in row 3239, and metropolitan areas start in row 4823.",,,,,,
" Census 2000 PHC-T-22.  Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, Metropolitan Areas, and Puerto Rico: 2000 ",,,,,,
"Table 1.  Gross Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, and Metropolitan Areas:  2000",,,,,,
,,,,,,
" Source:  U. S. Census Bureau, Census 2000, special tabulation. ",,,,,,
" Internet release date:  August 6, 2003 ",,,,,,
" [Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/prod/cen2000/doc/sf3.pdf] ",,,,,,
 (X) Not applicable ,,,,,,
"1/ This category includes movers from foreign countries, as well as movers from Puerto Rico, U.S. Island Areas, and U.S. minor outlying islands.",,,,,,
"2/ Most independent cities in Virginia were combined with an adjacent or surrounding county.  Exceptions were the independent cities of Colonial Heights, Hampton, Newport News, Suffolk, and Virginia Beach.  See endnote for complete list of county/city combinations.",,,,,,
 - Represents or rounds to zero ,,,,,,
 FIPS Code	,Geographic Area of Residence in 2000, Population 5 years and over , Same residence (nonmovers) , Different residence 5 years ago ,,
 26089 ,  Leelanau County," 20,044 "," 12,276 "," 7,768 "," 2,560 ", 187
 26091 ,  Lenawee County," 92,699 "," 53,883 "," 38,816 "," 22,603 ", 621
 26093 ,  Livingston County," 145,664 "," 80,163 "," 65,501 "," 24,582 "," 1,045 "
 26095 ,  Luce County," 6,665 "," 3,932 "," 2,733 ", 994 , 76
 26097 ,  Mackinac County," 11,383 "," 7,270 "," 4,113 "," 1,643 ", 74
 26099 ,  Macomb County," 737,174 "," 429,516 "," 307,658 "," 186,895 "," 13,859 "
 26101 ,  Manistee County," 23,247 "," 14,537 "," 8,710 "," 4,071 ", 96
 26103 ,  Marquette County," 61,409 "," 35,782 "," 25,627 "," 14,140 ", 337
 26105 ,  Mason County," 26,721 "," 16,093 "," 10,628 "," 5,513 ", 114
 26107 ,  Mecosta County," 38,146 "," 19,681 "," 18,465 "," 5,870 ", 575
 26109 ,  Menominee County," 23,811 "," 15,689 "," 8,122 "," 4,816 ", 32
 26111 ,  Midland County," 77,546 "," 46,318 "," 31,228 "," 15,883 ", 993
 26113 ,  Missaukee County," 13,548 "," 8,791 "," 4,757 "," 1,966 ", 31
 26115 ,  Monroe County," 136,291 "," 83,124 "," 53,167 "," 29,610 ", 969
 26117 ,  Montcalm County," 57,225 "," 33,512 "," 23,713 "," 10,998 ", 330
 26119 ,  Montmorency County," 9,856 "," 5,909 "," 3,947 "," 1,424 ", 16
 26121 ,  Muskegon County," 158,669 "," 92,943 "," 65,726 "," 45,522 ", 761
 26123 ,  Newaygo County," 44,614 "," 26,985 "," 17,629 "," 7,652 ", 285
 26125 ,  Oakland County," 1,114,228 "," 622,085 "," 492,143 "," 275,638 "," 31,186 "
 26127 ,  Oceana County," 25,165 "," 15,758 "," 9,407 "," 4,381 ", 453
 26129 ,  Ogemaw County," 20,523 "," 12,538 "," 7,985 "," 3,230 ", 66
 26131 ,  Ontonagon County," 7,484 "," 5,332 "," 2,152 "," 1,188 ", 22
 26133 ,  Osceola County," 21,755 "," 13,290 "," 8,465 "," 3,812 ", 107
 26135 ,  Oscoda County," 8,942 "," 5,545 "," 3,397 "," 1,222 ", 12
 26137 ,  Otsego County," 21,844 "," 12,146 "," 9,698 "," 4,245 ", 94
 26139 ,  Ottawa County," 220,333 "," 121,181 "," 99,152 "," 48,361 "," 2,113 "
 26141 ,  Presque Isle County," 13,712 "," 9,587 "," 4,125 "," 1,997 ", 31
 26143 ,  Roscommon County," 24,380 "," 14,226 "," 10,154 "," 3,755 ", 74
 26145 ,  Saginaw County," 195,858 "," 120,547 "," 75,311 "," 50,925 "," 1,568 "
 26147 ,  St. Clair County," 153,105 "," 89,393 "," 63,712 "," 39,110 ", 908
 26149 ,  St. Joseph County," 57,924 "," 33,499 "," 24,425 "," 15,352 ", 713
 26151 ,  Sanilac County," 41,666 "," 26,442 "," 15,224 "," 7,790 ", 157
 26153 ,  Schoolcraft County," 8,405 "," 5,227 "," 3,178 "," 1,684 ", 38
 26155 ,  Shiawassee County," 66,861 "," 42,171 "," 24,690 "," 14,315 ", 240
 26157 ,  Tuscola County," 54,665 "," 35,180 "," 19,485 "," 10,802 ", 171
 26159 ,  Van Buren County," 71,045 "," 43,407 "," 27,638 "," 13,826 ", 792
 26161 ,  Washtenaw County," 302,785 "," 130,068 "," 172,717 "," 69,146 "," 14,376 "
 26163 ,  Wayne County," 1,909,251 "," 1,145,372 "," 763,879 "," 571,215 "," 42,730 "
 26165 ,  Wexford County," 28,536 "," 15,916 "," 12,620 "," 5,996 ", 151
Minnesota,,,,,,
 27001 ,  Aitkin County," 14,607 "," 9,227 "," 5,380 "," 1,860 ", 40
 27003 ,  Anoka County," 275,716 "," 163,121 "," 112,595 "," 46,855 "," 3,032 "
 27005 ,  Becker County," 28,118 "," 17,377 "," 10,741 "," 5,208 ", 125
 27007 ,  Beltrami County," 36,846 "," 20,786 "," 16,060 "," 7,866 ", 400
 27009 ,  Benton County," 31,756 "," 17,699 "," 14,057 "," 4,780 ", 253
 27011 ,  Big Stone County," 5,551 "," 4,156 "," 1,395 ", 726 , 15
 27013 ,  Blue Earth County," 52,798 "," 27,393 "," 25,405 "," 10,233 ", 807
 27015 ,  Brown County," 25,487 "," 16,453 "," 9,034 "," 4,986 ", 124
 27017 ,  Carlton County," 29,805 "," 19,632 "," 10,173 "," 5,101 ", 163
 27019 ,  Carver County," 64,052 "," 35,488 "," 28,564 "," 9,283 "," 1,035 "
 27021 ,  Cass County," 25,770 "," 16,177 "," 9,593 "," 3,448 ", 128
 27023 ,  Chippewa County," 12,327 "," 8,077 "," 4,250 "," 2,129 ", 35
 27025 ,  Chisago County," 37,974 "," 21,749 "," 16,225 "," 4,977 ", 107
 27027 ,  Clay County," 48,078 "," 26,112 "," 21,966 "," 8,600 ", 566
 27029 ,  Clearwater County," 7,927 "," 5,321 "," 2,606 "," 1,462 ", 12
 27031 ,  Cook County," 4,938 "," 2,856 "," 2,082 ", 847 , 43
 27033 ,  Cottonwood County," 11,461 "," 7,897 "," 3,564 "," 1,948 ", 53
 27035 ,  Crow Wing County," 51,804 "," 28,832 "," 22,972 "," 11,712 ", 285
 27037 ,  Dakota County," 328,482 "," 178,360 "," 150,122 "," 65,973 "," 5,285 "
 27039 ,  Dodge County," 16,390 "," 10,229 "," 6,161 "," 2,781 ", 130
 27041 ,  Douglas County," 30,999 "," 18,804 "," 12,195 "," 5,989 ", 93
 27043 ,  Faribault County," 15,318 "," 10,647 "," 4,671 "," 2,465 ", 56
 27045 ,  Fillmore County," 19,886 "," 13,272 "," 6,614 "," 3,437 ", 37
 27047 ,  Freeborn County," 30,787 "," 19,805 "," 10,982 "," 6,836 ", 242
 27049 ,  Goodhue County," 41,483 "," 25,916 "," 15,567 "," 7,901 ", 267
 27051 ,  Grant County," 5,968 "," 3,863 "," 2,105 "," 1,031 ", 7
 27053 ,  Hennepin County," 1,043,809 "," 541,148 "," 502,661 "," 271,658 "," 39,075 "
 27055 ,  Houston County," 18,572 "," 12,139 "," 6,433 "," 3,557 ", 72
 27057 ,  Hubbard County," 17,368 "," 10,391 "," 6,977 "," 2,444 ", 60
 27059 ,  Isanti County," 29,271 "," 18,081 "," 11,190 "," 3,514 ", 111
 27061 ,  Itasca County," 41,680 "," 26,392 "," 15,288 "," 8,471 ", 275
 27063 ,  Jackson County," 10,682 "," 7,292 "," 3,390 "," 1,664 ", 36
 27065 ,  Kanabec County," 14,108 "," 8,634 "," 5,474 "," 2,208 ", 38
 27067 ,  Kandiyohi County," 38,620 "," 23,338 "," 15,282 "," 8,447 ", 466
 27069 ,  Kittson County," 4,963 "," 3,589 "," 1,374 ", 786 , 30
 27071 ,  Koochiching County," 13,607 "," 8,977 "," 4,630 "," 2,891 ", 135
 27073 ,  Lac qui Parle County," 7,664 "," 5,550 "," 2,114 "," 1,065 ", 20
 27075 ,  Lake County," 10,499 "," 7,165 "," 3,334 "," 1,544 ", 36
 27077 ,  Lake of the Woods County," 4,326 "," 2,904 "," 1,422 ", 718 , 43
 27079 ,  Le Sueur County," 23,833 "," 15,560 "," 8,273 "," 3,454 ", 124
 27081 ,  Lincoln County," 6,070 "," 4,111 "," 1,959 ", 981 , 14
 27083 ,  Lyon County," 23,744 "," 13,430 "," 10,314 "," 5,178 ", 480
 27085 ,  McLeod County," 32,472 "," 19,810 "," 12,662 "," 6,474 ", 225
 27087 ,  Mahnomen County," 4,812 "," 3,387 "," 1,425 ", 676 , 34
 27089 ,  Marshall County," 9,564 "," 6,865 "," 2,699 "," 1,349 ", 55
 27091 ,  Martin County," 20,659 "," 13,370 "," 7,289 "," 4,298 ", 67
 27093 ,  Meeker County," 21,189 "," 13,575 "," 7,614 "," 3,482 ", 71
 27095 ,  Mille Lacs County," 20,979 "," 12,246 "," 8,733 "," 3,765 ", 85
 27097 ,  Morrison County," 29,559 "," 19,936 "," 9,623 "," 5,489 ", 53
 27099 ,  Mower County," 36,203 "," 22,036 "," 14,167 "," 7,896 ", 587
 27101 ,  Murray County," 8,670 "," 6,277 "," 2,393 "," 1,368 ", 24
 27103 ,  Nicollet County," 28,021 "," 15,423 "," 12,598 "," 3,644 ", 326
 27105 ,  Nobles County," 19,410 "," 12,611 "," 6,799 "," 3,537 ", 346
 27107 ,  Norman County," 7,008 "," 4,609 "," 2,399 "," 1,156 ", 42
 27109 ,  Olmsted County," 115,459 "," 63,215 "," 52,244 "," 25,280 "," 3,629 "
 27111 ,  Otter Tail County," 53,980 "," 34,114 "," 19,866 "," 10,091 ", 493
 27113 ,  Pennington County," 12,747 "," 7,677 "," 5,070 "," 2,593 ", 89
 27115 ,  Pine County," 25,116 "," 15,102 "," 10,014 "," 3,785 ", 83
 27117 ,  Pipestone County," 9,314 "," 6,343 "," 2,971 "," 1,542 ", 17
 27119 ,  Polk County," 29,456 "," 18,253 "," 11,203 "," 5,963 ", 242
 27121 ,  Pope County," 10,690 "," 7,019 "," 3,671 "," 1,743 ", 23
 27123 ,  Ramsey County," 476,014 "," 255,959 "," 220,055 "," 103,402 "," 13,444 "
 27125 ,  Red Lake County," 4,063 "," 2,900 "," 1,163 ", 609 , 9
 27127 ,  Redwood County," 15,770 "," 10,933 "," 4,837 "," 2,930 ", 15
 27129 ,  Renville County," 16,158 "," 11,230 "," 4,928 "," 2,453 ", 69
 27131 ,  Rice County," 53,208 "," 27,811 "," 25,397 "," 10,906 "," 1,144 "
 27133 ,  Rock County," 9,165 "," 6,235 "," 2,930 "," 1,642 ", 64
 27135 ,  Roseau County," 15,129 "," 10,159 "," 4,970 "," 3,088 ", 140
 27137 ,  St. Louis County," 190,105 "," 115,620 "," 74,485 "," 43,410 "," 1,428 "
 27139 ,  Scott County," 81,314 "," 42,916 "," 38,398 "," 11,796 ", 926
 27141 ,  Sherburne County," 59,074 "," 31,952 "," 27,122 "," 6,845 ", 186
 27143 ,  Sibley County," 14,281 "," 9,790 "," 4,491 "," 1,834 ", 162
 27145 ,  Stearns County," 124,571 "," 71,138 "," 53,433 "," 24,516 "," 1,403 "
 27147 ,  Steele County," 31,356 "," 18,016 "," 13,340 "," 7,015 ", 560
 27149 ,  Stevens County," 9,519 "," 5,055 "," 4,464 "," 1,705 ", 82
 27151 ,  Swift County," 11,311 "," 6,940 "," 4,371 "," 1,785 ", 151
 27153 ,  Todd County," 22,999 "," 15,181 "," 7,818 "," 3,466 ", 214
 27155 ,  Traverse County," 3,903 "," 2,741 "," 1,162 ", 583 , 8
 27157 ,  Wabasha County," 20,378 "," 12,953 "," 7,425 "," 3,434 ", 251
 27159 ,  Wadena County," 12,844 "," 7,982 "," 4,862 "," 2,164 ", 16
 27161 ,  Waseca County," 18,216 "," 10,994 "," 7,222 "," 3,716 ", 61
 27163 ,  Washington County," 185,760 "," 108,278 "," 77,482 "," 26,883 "," 2,142 "
 27165 ,  Watonwan County," 11,081 "," 7,566 "," 3,515 "," 1,987 ", 195
 27167 ,  Wilkin County," 6,683 "," 4,274 "," 2,409 "," 1,065 ", 21
 27169 ,  Winona County," 47,205 "," 25,864 "," 21,341 "," 10,471 ", 574
 27171 ,  Wright County," 82,485 "," 48,134 "," 34,351 "," 13,685 ", 352
 27173 ,  Yellow Medicine County," 10,447 "," 7,160 "," 3,287 "," 1,446 ", 42
Mississippi,,,,,,
 28001 ,  Adams County," 32,148 "," 20,730 "," 11,418 "," 7,847 ", 110
 28003 ,  Alcorn County," 32,280 "," 20,559 "," 11,721 "," 7,102 ", 222
 28005 ,  Amite County," 12,772 "," 9,502 "," 3,270 "," 1,409 ", 20
 28007 ,  Attala County," 18,398 "," 11,803 "," 6,595 "," 3,687 ", 116
 28009 ,  Benton County," 7,443 "," 4,872 "," 2,571 "," 1,283 ", 37
 28011 ,  Bolivar County," 37,622 "," 23,656 "," 13,966 "," 9,038 ", 273
 28013 ,  Calhoun County," 14,119 "," 9,512 "," 4,607 "," 3,184 ", 114
 28015 ,  Carroll County," 10,195 "," 7,280 "," 2,915 "," 1,129 ", 56
 28017 ,  Chickasaw County," 17,983 "," 12,407 "," 5,576 "," 3,319 ", 123
 28019 ,  Choctaw County," 9,093 "," 6,300 "," 2,793 "," 1,479 ", 60
 28021 ,  Claiborne County," 11,047 "," 7,642 "," 3,405 "," 1,494 ", 150
 28023 ,  Clarke County," 16,725 "," 11,635 "," 5,090 "," 2,839 ", 91
 28025 ,  Clay County," 20,386 "," 12,971 "," 7,415 "," 4,806 ", 114
 28027 ,  Coahoma County," 27,875 "," 16,947 "," 10,928 "," 7,870 ", 212
 28029 ,  Copiah County," 26,898 "," 17,701 "," 9,197 "," 4,963 ", 197
 28031 ,  Covington County," 17,905 "," 12,188 "," 5,717 "," 3,305 ", 46
 28033 ,  DeSoto County," 98,866 "," 47,984 "," 50,882 "," 19,470 "," 1,036 "
 28035 ,  Forrest County," 67,835 "," 32,951 "," 34,884 "," 15,449 "," 1,083 "
 28037 ,  Franklin County," 7,888 "," 5,296 "," 2,592 "," 1,390 ", 30
 28039 ,  George County," 17,751 "," 11,104 "," 6,647 "," 3,762 ", 151
 28041 ,  Greene County," 12,366 "," 7,483 "," 4,883 "," 1,571 ", 157
 28043 ,  Grenada County," 21,663 "," 12,892 "," 8,771 "," 5,144 ", 144
 28045 ,  Hancock County," 40,235 "," 22,768 "," 17,467 "," 7,378 ", 244
 28047 ,  Harrison County," 175,868 "," 86,154 "," 89,714 "," 45,335 "," 3,238 "
 28049 ,  Hinds County," 232,375 "," 125,921 "," 106,454 "," 70,735 "," 1,935 "
 28051 ,  Holmes County," 19,931 "," 13,741 "," 6,190 "," 3,885 ", 131
 28053 ,  Humphreys County," 10,369 "," 7,015 "," 3,354 "," 2,410 ", 63
 28055 ,  Issaquena County," 2,139 "," 1,305 ", 834 , 247 , 4
 28057 ,  Itawamba County," 21,372 "," 14,145 "," 7,227 "," 3,805 ", 51
 28059 ,  Jackson County," 122,189 "," 69,119 "," 53,070 "," 28,436 "," 1,813 "
 28061 ,  Jasper County," 16,910 "," 12,305 "," 4,605 "," 2,406 ", 40
 28063 ,  Jefferson County," 9,029 "," 6,414 "," 2,615 "," 1,376 ", 141
 28065 ,  Jefferson Davis County," 12,971 "," 9,010 "," 3,961 "," 2,182 ", 17
 28067 ,  Jones County," 60,411 "," 38,195 "," 22,216 "," 13,725 "," 1,033 "
 28069 ,  Kemper County," 9,745 "," 7,026 "," 2,719 "," 1,328 ", 87
 28071 ,  Lafayette County," 36,686 "," 16,099 "," 20,587 "," 6,466 ", 854
 28073 ,  Lamar County," 36,206 "," 18,505 "," 17,701 "," 6,448 ", 239
 28075 ,  Lauderdale County," 72,554 "," 41,603 "," 30,951 "," 19,145 ", 651
 28077 ,  Lawrence County," 12,356 "," 8,428 "," 3,928 "," 2,106 ", 75
 28079 ,  Leake County," 19,452 "," 13,004 "," 6,448 "," 3,776 ", 141
 28081 ,  Lee County," 70,111 "," 38,685 "," 31,426 "," 19,223 ", 453
 28083 ,  Leflore County," 34,986 "," 19,915 "," 15,071 "," 10,180 ", 551
 28085 ,  Lincoln County," 30,880 "," 18,707 "," 12,173 "," 7,021 ", 134
 28087 ,  Lowndes County," 56,830 "," 31,675 "," 25,155 "," 14,824 ", 578
 28089 ,  Madison County," 68,859 "," 35,995 "," 32,864 "," 12,722 ", 687
 28091 ,  Marion County," 23,878 "," 14,227 "," 9,651 "," 6,230 ", 91
 28093 ,  Marshall County," 32,518 "," 21,938 "," 10,580 "," 4,958 ", 320
 28095 ,  Monroe County," 35,487 "," 23,058 "," 12,429 "," 8,222 ", 142
 28097 ,  Montgomery County," 11,437 "," 7,701 "," 3,736 "," 2,256 ", 62
 28099 ,  Neshoba County," 26,468 "," 16,780 "," 9,688 "," 5,444 ", 136
 28101 ,  Newton County," 20,300 "," 12,833 "," 7,467 "," 4,317 ", 84
 28103 ,  Noxubee County," 11,531 "," 8,247 "," 3,284 "," 2,252 ", 92
 28105 ,  Oktibbeha County," 40,351 "," 17,011 "," 23,340 "," 8,795 ", 875
 28107 ,  Panola County," 31,689 "," 20,865 "," 10,824 "," 6,124 ", 57
 28109 ,  Pearl River County," 45,197 "," 25,486 "," 19,711 "," 9,775 ", 304
 28111 ,  Perry County," 11,226 "," 7,340 "," 3,886 "," 1,734 ", 28
 28113 ,  Pike County," 36,069 "," 22,634 "," 13,435 "," 7,814 ", 148
 28115 ,  Pontotoc County," 24,760 "," 15,080 "," 9,680 "," 5,226 ", 203
 28117 ,  Prentiss County," 23,816 "," 15,281 "," 8,535 "," 5,004 ", 29
 28119 ,  Quitman County," 9,306 "," 6,231 "," 3,075 "," 1,824 ", 22
 28121 ,  Rankin County," 107,265 "," 54,726 "," 52,539 "," 22,167 "," 1,306 "
 28123 ,  Scott County," 26,284 "," 16,470 "," 9,814 "," 5,852 ", 462
 28125 ,  Sharkey County," 6,032 "," 4,183 "," 1,849 "," 1,114 ", 30
 28127 ,  Simpson County," 25,698 "," 16,839 "," 8,859 "," 4,917 ", 161
 28129 ,  Smith County," 15,060 "," 10,434 "," 4,626 "," 2,578 ", 132
 28131 ,  Stone County," 12,689 "," 7,072 "," 5,617 "," 2,546 ", 100
 28133 ,  Sunflower County," 31,979 "," 19,988 "," 11,991 "," 6,500 ", 202
 28135 ,  Tallahatchie County," 13,893 "," 9,814 "," 4,079 "," 2,462 ", 60
 28137 ,  Tate County," 23,546 "," 14,320 "," 9,226 "," 3,962 ", 74
 28139 ,  Tippah County," 19,495 "," 12,596 "," 6,899 "," 4,154 ", 277
 28141 ,  Tishomingo County," 18,057 "," 12,189 "," 5,868 "," 3,364 ", 133
 28143 ,  Tunica County," 8,451 "," 4,790 "," 3,661 "," 1,981 ", 66
 28145 ,  Union County," 23,513 "," 14,919 "," 8,594 "," 4,566 ", 159
 28147 ,  Walthall County," 14,081 "," 9,596 "," 4,485 "," 2,697 ", 84
 28149 ,  Warren County," 45,912 "," 26,941 "," 18,971 "," 12,574 ", 188
 28151 ,  Washington County," 57,754 "," 34,595 "," 23,159 "," 16,909 ", 725
 28153 ,  Wayne County," 19,608 "," 13,193 "," 6,415 "," 4,320 ", 119
 28155 ,  Webster County," 9,624 "," 6,086 "," 3,538 "," 1,855 ", 44
 28157 ,  Wilkinson County," 9,723 "," 6,902 "," 2,821 "," 1,337 ", 107
 28159 ,  Winston County," 18,790 "," 12,495 "," 6,295 "," 3,961 ", 90
 28161 ,  Yalobusha County," 12,203 "," 7,798 "," 4,405 "," 2,504 ", 11
 28163 ,  Yazoo County," 26,041 "," 15,039 "," 11,002 "," 6,353 ", 444
Missouri,,,,,,
 29001 ,  Adair County," 23,685 "," 10,334 "," 13,351 "," 4,516 ", 291
 29003 ,  Andrew County," 15,474 "," 9,158 "," 6,316 "," 2,431 ", 84
 29005 ,  Atchison County," 6,148 "," 3,872 "," 2,276 "," 1,257 ", 17
 29007 ,  Audrain County," 24,186 "," 13,910 "," 10,276 "," 5,156 ", 89
 29009 ,  Barry County," 31,736 "," 16,615 "," 15,121 "," 6,919 ", 398
 29011 ,  Barton County," 11,578 "," 6,685 "," 4,893 "," 2,523 ", 20
 29013 ,  Bates County," 15,634 "," 8,886 "," 6,748 "," 3,243 ", 61
 29015 ,  Benton County," 16,375 "," 9,182 "," 7,193 "," 2,401 ", 76
 29017 ,  Bollinger County," 11,291 "," 6,889 "," 4,402 "," 1,886 ", 16
 29019 ,  Boone County," 127,143 "," 50,522 "," 76,621 "," 35,408 "," 2,884 "
 29021 ,  Buchanan County," 80,639 "," 44,446 "," 36,193 "," 22,288 ", 503
 29023 ,  Butler County," 38,277 "," 21,341 "," 16,936 "," 10,045 ", 276
 29025 ,  Caldwell County," 8,397 "," 4,656 "," 3,741 "," 1,541 ", 17
 29027 ,  Callaway County," 38,330 "," 20,267 "," 18,063 "," 7,941 ", 366
 29029 ,  Camden County," 35,307 "," 17,451 "," 17,856 "," 6,662 ", 355
 29031 ,  Cape Girardeau County," 64,678 "," 33,412 "," 31,266 "," 16,936 ", 732
 29033 ,  Carroll County," 9,640 "," 6,119 "," 3,521 "," 2,278 ", 8
 29035 ,  Carter County," 5,587 "," 3,308 "," 2,279 "," 1,046 ", 20
 29037 ,  Cass County," 76,039 "," 39,954 "," 36,085 "," 15,058 ", 554
 29039 ,  Cedar County," 12,984 "," 7,560 "," 5,424 "," 2,490 ", 63
 29041 ,  Chariton County," 8,007 "," 5,603 "," 2,404 "," 1,303 ", 16
 29043 ,  Christian County," 50,144 "," 21,316 "," 28,828 "," 9,626 ", 326
 29045 ,  Clark County," 6,960 "," 4,636 "," 2,324 "," 1,280 ", -
 29047 ,  Clay County," 170,777 "," 84,539 "," 86,238 "," 40,503 "," 1,756 "
 29049 ,  Clinton County," 17,741 "," 9,534 "," 8,207 "," 2,760 ", 42
 29051 ,  Cole County," 66,644 "," 35,003 "," 31,641 "," 15,794 ", 724
 29053 ,  Cooper County," 15,688 "," 8,438 "," 7,250 "," 3,195 ", 329
 29055 ,  Crawford County," 21,332 "," 12,088 "," 9,244 "," 4,562 ", 87
 29057 ,  Dade County," 7,467 "," 4,570 "," 2,897 "," 1,242 ", 22
 29059 ,  Dallas County," 14,640 "," 8,511 "," 6,129 "," 2,231 ", 63
 29061 ,  Daviess County," 7,451 "," 4,232 "," 3,219 "," 1,508 ", 24
 29063 ,  DeKalb County," 10,978 "," 5,677 "," 5,301 "," 1,228 ", 157
 29065 ,  Dent County," 13,969 "," 7,539 "," 6,430 "," 3,484 ", 34
 29067 ,  Douglas County," 12,313 "," 7,651 "," 4,662 "," 1,981 ", 61
 29069 ,  Dunklin County," 30,771 "," 17,263 "," 13,508 "," 8,755 ", 164
 29071 ,  Franklin County," 87,359 "," 50,199 "," 37,160 "," 21,742 ", 269
 29073 ,  Gasconade County," 14,440 "," 8,927 "," 5,513 "," 2,434 ", 101
 29075 ,  Gentry County," 6,428 "," 3,889 "," 2,539 "," 1,391 ", 25
 29077 ,  Greene County," 225,739 "," 103,555 "," 122,184 "," 65,996 "," 1,905 "
 29079 ,  Grundy County," 9,779 "," 5,784 "," 3,995 "," 2,033 ", 16
 29081 ,  Harrison County," 8,268 "," 4,926 "," 3,342 "," 1,816 ", 77
 29083 ,  Henry County," 20,665 "," 10,892 "," 9,773 "," 5,087 ", 41
 29085 ,  Hickory County," 8,546 "," 5,015 "," 3,531 "," 1,241 ", 37
 29087 ,  Holt County," 5,093 "," 3,386 "," 1,707 ", 943 , 5
 29089 ,  Howard County," 9,641 "," 5,680 "," 3,961 "," 1,682 ", 51
 29091 ,  Howell County," 34,717 "," 18,508 "," 16,209 "," 8,522 ", 130
 29093 ,  Iron County," 10,072 "," 5,927 "," 4,145 "," 2,075 ", 34
 29095 ,  Jackson County," 609,212 "," 316,867 "," 292,345 "," 185,314 "," 11,042 "
 29097 ,  Jasper County," 97,127 "," 46,794 "," 50,333 "," 27,741 "," 1,202 "
 29099 ,  Jefferson County," 183,819 "," 106,054 "," 77,765 "," 41,845 ", 878
 29101 ,  Johnson County," 44,928 "," 18,487 "," 26,441 "," 8,731 "," 1,156 "
 29103 ,  Knox County," 4,083 "," 2,510 "," 1,573 ", 743 , 2
 29105 ,  Laclede County," 30,275 "," 16,381 "," 13,894 "," 8,158 ", 108
 29107 ,  Lafayette County," 30,956 "," 17,538 "," 13,418 "," 6,743 ", 144
 29109 ,  Lawrence County," 32,695 "," 17,935 "," 14,760 "," 6,928 ", 234
 29111 ,  Lewis County," 9,760 "," 5,544 "," 4,216 "," 1,983 ", 44
 29113 ,  Lincoln County," 36,085 "," 19,491 "," 16,594 "," 7,292 ", 83
 29115 ,  Linn County," 12,933 "," 7,619 "," 5,314 "," 3,202 ", 47
 29117 ,  Livingston County," 13,672 "," 7,670 "," 6,002 "," 3,414 ", 104
 29119 ,  McDonald County," 20,003 "," 9,859 "," 10,144 "," 4,123 ", 476
 29121 ,  Macon County," 14,775 "," 8,766 "," 6,009 "," 3,230 ", 29
 29123 ,  Madison County," 11,097 "," 6,215 "," 4,882 "," 2,694 ", 34
 29125 ,  Maries County," 8,326 "," 5,196 "," 3,130 "," 1,194 ", 72
 29127 ,  Marion County," 26,422 "," 14,329 "," 12,093 "," 7,265 ", 160
 29129 ,  Mercer County," 3,550 "," 2,126 "," 1,424 ", 535 , 8
 29131 ,  Miller County," 21,952 "," 12,412 "," 9,540 "," 4,703 ", 84
 29133 ,  Mississippi County," 12,462 "," 7,491 "," 4,971 "," 3,297 ", 67
 29135 ,  Moniteau County," 13,832 "," 7,826 "," 6,006 "," 2,463 ", 97
 29137 ,  Monroe County," 8,706 "," 5,167 "," 3,539 "," 1,608 ", 19
 29139 ,  Montgomery County," 11,437 "," 6,912 "," 4,525 "," 2,210 ", 64
 29141 ,  Morgan County," 18,161 "," 10,157 "," 8,004 "," 3,075 ", 106
 29143 ,  New Madrid County," 18,455 "," 10,847 "," 7,608 "," 4,118 ", 40
 29145 ,  Newton County," 48,986 "," 25,307 "," 23,679 "," 10,334 ", 361
 29147 ,  Nodaway County," 20,882 "," 10,522 "," 10,360 "," 4,404 ", 202
 29149 ,  Oregon County," 9,713 "," 5,497 "," 4,216 "," 1,870 ", 19
 29151 ,  Osage County," 12,202 "," 8,291 "," 3,911 "," 2,004 ", 51
 29153 ,  Ozark County," 9,047 "," 5,622 "," 3,425 "," 1,425 ", 68
 29155 ,  Pemiscot County," 18,397 "," 10,103 "," 8,294 "," 5,781 ", 122
 29157 ,  Perry County," 16,893 "," 10,908 "," 5,985 "," 3,962 ", 61
 29159 ,  Pettis County," 36,649 "," 19,297 "," 17,352 "," 9,434 ", 626
 29161 ,  Phelps County," 37,539 "," 17,537 "," 20,002 "," 8,912 ", 731
 29163 ,  Pike County," 17,377 "," 9,503 "," 7,874 "," 3,676 ", 277
 29165 ,  Platte County," 68,717 "," 33,899 "," 34,818 "," 10,952 "," 1,078 "
 29167 ,  Polk County," 25,192 "," 12,892 "," 12,300 "," 4,780 ", 249
 29169 ,  Pulaski County," 38,014 "," 13,484 "," 24,530 "," 6,175 "," 2,312 "
 29171 ,  Putnam County," 4,883 "," 3,151 "," 1,732 ", 901 , 45
 29173 ,  Ralls County," 9,077 "," 5,564 "," 3,513 "," 1,454 ", 4
 29175 ,  Randolph County," 23,052 "," 12,242 "," 10,810 "," 6,052 ", 192
 29177 ,  Ray County," 21,809 "," 13,287 "," 8,522 "," 4,293 ", 37
 29179 ,  Reynolds County," 6,308 "," 3,727 "," 2,581 "," 1,300 ", 12
